               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035766,            0.020659,           0.0039977,             0.94111,             0.57712,             0.61391,             0.34613,            0.037215,            0.013422,           0.0065197,             0.00307,             0.00307,             0.00307
                  37,            0.036538,            0.019478,           0.0045439,             0.93409,             0.57004,             0.61849,             0.40696,            0.030488,            0.013106,           0.0057507,            0.002872,            0.002872,            0.002872
                  38,            0.036653,            0.023301,            0.003751,             0.93316,             0.58355,             0.61817,             0.34783,            0.036026,             0.01321,           0.0063606,            0.002674,            0.002674,            0.002674
                  39,            0.035963,            0.022319,           0.0039081,             0.53566,             0.59514,             0.59433,             0.29759,            0.040304,            0.013487,           0.0085854,            0.002476,            0.002476,            0.002476
                  40,             0.03636,            0.021707,           0.0040231,             0.55446,             0.61245,             0.61548,             0.37707,            0.031845,            0.012948,           0.0081871,            0.002278,            0.002278,            0.002278
                  41,            0.035314,            0.021858,           0.0044564,             0.93802,             0.57283,             0.62167,             0.37272,            0.034545,             0.01301,           0.0064396,             0.00208,             0.00208,             0.00208
                  42,            0.034795,            0.020775,           0.0032456,             0.94261,             0.57532,             0.61949,             0.37333,            0.033054,            0.012974,           0.0065014,            0.001882,            0.001882,            0.001882
                  43,            0.033071,            0.021014,           0.0036557,             0.57012,             0.62404,             0.62756,              0.3529,            0.034094,            0.013029,           0.0066113,            0.001684,            0.001684,            0.001684
                  44,            0.033369,            0.021495,           0.0033285,             0.90176,             0.61699,             0.62769,             0.39944,            0.030919,            0.012858,           0.0068344,            0.001486,            0.001486,            0.001486
                  45,            0.033385,            0.019324,           0.0037334,             0.89003,             0.61852,             0.61332,             0.35726,            0.032777,            0.013084,            0.005975,            0.001288,            0.001288,            0.001288
                  46,             0.03363,            0.020636,           0.0030243,             0.94671,             0.57813,             0.62249,             0.36631,            0.033486,            0.013081,           0.0056683,             0.00109,             0.00109,             0.00109
                  47,            0.033114,            0.019686,           0.0022812,             0.94893,             0.58347,             0.62274,             0.37116,            0.031599,            0.012865,           0.0057598,            0.000892,            0.000892,            0.000892
                  48,            0.032128,            0.018607,           0.0031985,              0.9596,             0.57778,             0.62744,              0.3706,            0.031662,            0.012807,           0.0057873,            0.000694,            0.000694,            0.000694
                  49,            0.030918,            0.016674,           0.0024327,             0.95285,             0.57966,             0.62522,             0.38124,            0.031189,            0.012674,           0.0059429,            0.000496,            0.000496,            0.000496
